Date,Open,High,Low,Close,Volume,Market Cap
"Jan 19, 2018",314.13,367.96,309.54,364.62,"199,852,000","4,906,340,000"
"Jan 18, 2018",320.6,347.11,303.35,316.47,"152,851,000","5,005,990,000"
"Jan 17, 2018",318.93,332.12,240.36,319.19,"192,937,000","4,978,850,000"
"Jan 16, 2018",415.93,418.99,261.2,320.04,"283,036,000","6,491,450,000"
"Jan 15, 2018",396.02,444.34,392.37,414.57,"264,782,000","6,179,110,000"
"Jan 14, 2018",420.34,444.01,384.31,399.52,"180,678,000","6,556,930,000"
"Jan 13, 2018",393.04,433.35,393.04,420.05,"248,705,000","6,129,540,000"
"Jan 12, 2018",358.62,394.78,347.32,394.78,"158,189,000","5,591,320,000"
"Jan 11, 2018",406.08,415.9,346.69,355.59,"187,722,000","6,329,790,000"
"Jan 10, 2018",413.25,419.06,370.52,407.74,"265,152,000","6,439,820,000"
"Jan 09, 2018",403.71,447.61,398.53,413.33,"522,438,000","6,289,410,000"
"Jan 08, 2018",458.35,469.7,357.54,405.07,"220,924,000","7,139,010,000"
"Jan 07, 2018",456.15,495.84,453.39,459.33,"262,443,000","7,103,000,000"
"Jan 06, 2018",385.37,452.77,380.21,452.77,"235,391,000","5,999,260,000"
"Jan 05, 2018",402.38,407.04,373.89,384.94,"182,618,000","6,262,550,000"
"Jan 04, 2018",414.41,419.72,383.54,403.05,"166,108,000","6,448,110,000"
"Jan 03, 2018",382.74,418.26,378.86,412.06,"180,190,000","5,953,920,000"
"Jan 02, 2018",359.06,387.79,359.06,383.42,"224,769,000","5,582,210,000"
"Jan 01, 2018",349.55,363.79,336.98,358.99,"110,244,000","5,434,340,000"
"Dec 31, 2017",329,356.77,327.41,349.03,"101,667,000","5,113,910,000"
"Dec 30, 2017",378.52,378.52,319.61,330.8,"140,463,000","5,882,180,000"
"Dec 29, 2017",381.3,387.56,358.07,377.37,"173,825,000","5,921,340,000"
"Dec 28, 2017",422.51,422.51,359.49,378.9,"162,717,000","6,561,210,000"
"Dec 27, 2017",381.3,442.6,381.3,421.85,"250,742,000","5,920,710,000"
"Dec 26, 2017",361.08,384.77,357.27,381.54,"161,342,000","5,605,310,000"
"Dec 25, 2017",339.69,365.87,323.2,360.78,"119,632,000","5,271,820,000"
"Dec 24, 2017",391.01,391.01,297.09,337.06,"134,675,000","6,062,810,000"
"Dec 23, 2017",349.76,417.65,344.38,382.04,"190,117,000","5,423,160,000"
"Dec 22, 2017",419.53,423.42,255.67,346.11,"334,617,000","6,504,920,000"
"Dec 21, 2017",470.29,470.29,390.55,417.98,"354,021,000","7,291,030,000"
"Dec 20, 2017",375.71,476.4,329.95,469.2,"498,648,000","5,823,300,000"
"Dec 19, 2017",381.07,406.03,346.94,377.24,"317,292,000","5,904,690,000"
"Dec 18, 2017",353.07,381.51,332.09,381.51,"217,306,000","5,469,410,000"
"Dec 17, 2017",328.06,365.24,327.27,351.37,"278,705,000","5,078,920,000"
"Dec 16, 2017",312.61,331.54,311.71,327.32,"164,861,000","4,839,760,000"
"Dec 15, 2017",325.61,326.08,296.08,312.32,"163,054,000","5,039,870,000"
"Dec 14, 2017",303.26,335.53,301.4,325.21,"261,053,000","4,692,810,000"
"Dec 13, 2017",307.43,330.35,284.74,305.75,"248,583,000","4,749,580,000"
"Dec 12, 2017",281.49,319.9,281.19,308.07,"271,786,000","4,348,820,000"
"Dec 11, 2017",244.95,281.03,244.14,279.67,"152,497,000","3,784,310,000"
"Dec 10, 2017",262.9,262.9,220.77,245.33,"142,120,000","4,061,590,000"
"Dec 09, 2017",277.27,281.4,250.39,262.53,"161,152,000","4,283,550,000"
"Dec 08, 2017",281.31,284.86,250.65,276.74,"201,497,000","4,346,000,000"
"Dec 07, 2017",277.87,300.32,263.17,280.86,"299,528,000","4,291,850,000"
"Dec 06, 2017",268.16,316.67,260.61,278.69,"543,884,000","4,140,770,000"
"Dec 05, 2017",211.13,272.64,208.89,269.48,"352,326,000","3,258,360,000"
"Dec 04, 2017",199.56,210.24,192.04,210.24,"74,534,400","3,079,850,000"
"Dec 03, 2017",203.37,209.09,191.25,200.05,"111,303,000","3,137,680,000"
"Dec 02, 2017",190.83,205.26,186.68,203.03,"80,791,100","2,943,520,000"
"Dec 01, 2017",179.72,191.85,169.76,190.94,"70,430,500","2,771,380,000"
"Nov 30, 2017",170.49,195.39,156.53,180.14,"128,112,000","2,627,490,000"
"Nov 29, 2017",203.91,214.28,165.33,168.15,"178,828,000","3,142,680,000"
"Nov 28, 2017",175.35,203.21,173.17,203.21,"179,179,000","2,701,720,000"
"Nov 27, 2017",162.92,173.39,159.95,173.39,"81,489,700","2,509,520,000"
"Nov 26, 2017",168.57,168.72,159.76,163.37,"61,100,400","2,595,920,000"
"Nov 25, 2017",160,170.1,160,168.44,"64,076,700","2,463,190,000"
"Nov 24, 2017",158.62,162.94,156.76,160.03,"69,178,000","2,441,330,000"
"Nov 23, 2017",166.11,172.92,156.45,158.61,"109,392,000","2,555,950,000"
"Nov 22, 2017",142.08,173.45,141.14,165.95,"189,472,000","2,184,930,000"
"Nov 21, 2017",136.1,142.21,131.37,141.74,"72,701,500","2,093,010,000"
"Nov 20, 2017",129.5,140.55,128.49,135.76,"59,945,400","1,990,900,000"
"Nov 19, 2017",130.72,133.62,127.21,129.48,"42,133,000","2,009,180,000"
"Nov 18, 2017",126.59,135.01,123.53,130.8,"62,156,400","1,945,200,000"
"Nov 17, 2017",120.02,126.7,119.25,126.7,"47,127,700","1,843,600,000"
"Nov 16, 2017",121.24,128.09,118.5,120.31,"74,944,100","1,861,940,000"
"Nov 15, 2017",122.24,124.72,119.19,121.37,"49,976,700","1,876,740,000"
"Nov 14, 2017",123.62,124.2,118.63,122.35,"53,544,800","1,896,990,000"
"Nov 13, 2017",128.96,136.53,120.92,123.4,"116,200,000","1,978,840,000"
"Nov 12, 2017",119.6,133.68,110.62,123.86,"144,948,000","1,834,630,000"
"Nov 11, 2017",105.75,127.11,103.88,119.62,"107,708,000","1,621,800,000"
"Nov 10, 2017",121.34,121.67,101.76,105.59,"84,614,000","1,860,390,000"
"Nov 09, 2017",112.53,123.41,112.22,120.78,"86,864,600","1,724,820,000"
"Nov 08, 2017",99.82,115.94,99.14,113.31,"79,822,900","1,529,550,000"
"Nov 07, 2017",104.23,104.75,95.05,99.76,"81,253,300","1,596,750,000"
"Nov 06, 2017",86.42,102.92,86.15,102.92,"103,722,000","1,323,540,000"
"Nov 05, 2017",87.31,88.04,86.04,86.35,"27,619,800","1,336,790,000"
"Nov 04, 2017",87.9,88.48,85.5,87.3,"23,011,500","1,345,360,000"
"Nov 03, 2017",83.53,90.14,83.53,87.99,"37,321,100","1,278,080,000"
"Nov 02, 2017",85.66,86.08,81.68,83.76,"48,608,100","1,310,390,000"
"Nov 01, 2017",87.65,88.2,84.73,85.72,"36,899,300","1,340,360,000"
"Oct 31, 2017",88.75,89.33,87.6,87.64,"28,704,900","1,356,840,000"
"Oct 30, 2017",88.59,90.49,88.04,88.84,"28,179,100","1,354,090,000"
"Oct 29, 2017",86.27,90.36,86.27,88.65,"38,368,700","1,318,160,000"
"Oct 28, 2017",86.91,87.76,85.71,86.31,"25,397,400","1,327,650,000"
"Oct 27, 2017",88.58,89.19,86.43,86.75,"27,939,000","1,352,700,000"
"Oct 26, 2017",88.17,89.87,88.02,88.58,"23,132,200","1,346,070,000"
"Oct 25, 2017",88.49,101.29,85.82,88.13,"59,952,100","1,350,650,000"
"Oct 24, 2017",85.16,92.35,83.47,88.4,"42,191,100","1,299,330,000"
"Oct 23, 2017",86.48,86.92,82.89,85.21,"26,261,800","1,319,200,000"
"Oct 22, 2017",88.18,89.04,85.52,86.58,"27,130,000","1,344,760,000"
"Oct 21, 2017",90.41,90.41,86.58,88.12,"25,267,200","1,378,290,000"
"Oct 20, 2017",88.71,92.73,88.07,90.54,"38,260,700","1,351,990,000"
"Oct 19, 2017",89.66,92.48,87.91,88.62,"35,302,300","1,366,060,000"
"Oct 18, 2017",91.19,91.26,86.54,89.54,"36,277,100","1,389,050,000"
