Date,Open,High,Low,Close,Volume,Market Cap
"Jan 19, 2018",0.114609,0.145622,0.110779,0.139106,"9,794,320","674,572,000"
"Jan 18, 2018",0.114331,0.12888,0.11022,0.115465,"5,609,140","671,729,000"
"Jan 17, 2018",0.117231,0.125685,0.080264,0.113989,"8,711,310","687,570,000"
"Jan 16, 2018",0.155286,0.155286,0.090792,0.114784,"10,080,100","776,045,000"
"Jan 15, 2018",0.162312,0.166644,0.152594,0.155105,"6,456,850","811,156,000"
"Jan 14, 2018",0.17776,0.18003,0.157538,0.163408,"6,860,900","888,359,000"
"Jan 13, 2018",0.152412,0.195053,0.152412,0.179246,"16,960,700","761,680,000"
"Jan 12, 2018",0.140406,0.154852,0.135945,0.152841,"6,526,590","701,678,000"
"Jan 11, 2018",0.157145,0.158275,0.134377,0.139817,"7,122,050","785,333,000"
"Jan 10, 2018",0.156445,0.162516,0.141909,0.157239,"7,537,860","781,833,000"
"Jan 09, 2018",0.166186,0.170449,0.15439,0.156108,"8,322,550","830,517,000"
"Jan 08, 2018",0.181651,0.182137,0.1477,0.166142,"12,863,700","907,802,000"
"Jan 07, 2018",0.194011,0.198772,0.154278,0.181429,"23,277,600","969,574,000"
"Jan 06, 2018",0.123267,0.229125,0.121963,0.195253,"48,002,900","616,027,000"
"Jan 05, 2018",0.086922,0.120872,0.084904,0.120872,"20,376,500","434,394,000"
"Jan 04, 2018",0.087316,0.088462,0.080982,0.087494,"8,636,070","436,363,000"
"Jan 03, 2018",0.086118,0.090285,0.082718,0.086639,"6,079,280","430,378,000"
"Jan 02, 2018",0.082527,0.088624,0.078102,0.086708,"6,373,440","412,430,000"
"Jan 01, 2018",0.087732,0.087732,0.079594,0.08235,"4,130,520","438,442,000"
"Dec 31, 2017",0.075704,0.090551,0.074814,0.087468,"5,541,340","378,331,000"
"Dec 30, 2017",0.082661,0.083519,0.07146,0.076036,"5,304,660","413,097,000"
"Dec 29, 2017",0.084641,0.088898,0.080921,0.083339,"5,321,260","422,993,000"
"Dec 28, 2017",0.085387,0.085899,0.077029,0.084015,"5,903,680","426,724,000"
"Dec 27, 2017",0.085953,0.089525,0.081999,0.085231,"5,522,580","429,551,000"
"Dec 26, 2017",0.0863,0.095388,0.079778,0.08543,"7,502,660","431,284,000"
"Dec 25, 2017",0.095205,0.096139,0.084693,0.084737,"5,116,270","475,786,000"
"Dec 24, 2017",0.099654,0.100004,0.08477,0.094808,"6,685,430","498,021,000"
"Dec 23, 2017",0.092828,0.105949,0.092133,0.098841,"10,358,100","463,908,000"
"Dec 22, 2017",0.109458,0.110394,0.075023,0.092016,"14,751,000","547,019,000"
"Dec 21, 2017",0.077393,0.123635,0.075011,0.109109,"27,886,800","386,774,000"
"Dec 20, 2017",0.084363,0.084363,0.071353,0.07697,"8,690,370","421,607,000"
"Dec 19, 2017",0.094236,0.094913,0.082265,0.084227,"9,602,100","470,946,000"
"Dec 18, 2017",0.071222,0.100956,0.067033,0.09456,"25,449,900","355,931,000"
"Dec 17, 2017",0.062987,0.072929,0.059527,0.071351,"9,608,160","314,776,000"
"Dec 16, 2017",0.069661,0.070906,0.059133,0.062997,"9,699,180","348,129,000"
"Dec 15, 2017",0.070669,0.075201,0.067666,0.069719,"10,702,400","353,168,000"
"Dec 14, 2017",0.082138,0.088617,0.061825,0.069998,"17,136,200",-
"Dec 13, 2017",0.124874,0.129576,0.054089,0.082076,"35,237,600",-
"Dec 12, 2017",0.104792,0.140485,0.098099,0.124174,"6,762,820",-
"Dec 11, 2017",0.10579,0.116303,0.104988,0.105366,"2,595,040",-
"Dec 10, 2017",0.106023,0.110885,0.096915,0.106676,"2,077,670",-
"Dec 09, 2017",0.129177,0.133793,0.101017,0.105961,"3,832,990",-
