Date,Open,High,Low,Close,Volume,Market Cap
"Jan 19, 2018",1.17,1.3,0.94051,1.01,"1,305,310","708,971,000"
"Jan 18, 2018",1.87,2.26,1.07,1.18,"2,860,820","1,121,740,000"
"Jan 17, 2018",0.900584,2.28,0.874918,1.79,"3,377,100","536,127,000"
"Jan 16, 2018",1.35,1.35,0.769083,0.851547,"1,083,940","796,199,000"
"Jan 15, 2018",1.74,2.01,1.12,1.34,"1,764,330","1,022,230,000"
"Jan 14, 2018",2.04,2.38,1.65,1.72,"2,123,690","1,188,770,000"
"Jan 13, 2018",1.6,3.45,1.52,2.03,"9,550,140","927,762,000"
"Jan 12, 2018",0.703201,1.71,0.605199,1.64,"2,524,040","403,619,000"
"Jan 11, 2018",0.428123,0.754888,0.416689,0.701391,"1,323,890","244,335,000"
"Jan 10, 2018",0.3239,0.422874,0.311005,0.422874,"282,412","199,831,000"
"Jan 09, 2018",0.419889,0.439086,0.30013,0.323435,"1,291,490","242,720,000"
"Jan 08, 2018",0.55268,0.559814,0.250119,0.418244,"2,992,850","311,206,000"
"Jan 07, 2018",0.509245,0.553165,0.466049,0.553165,"1,188,660","284,562,000"
"Jan 06, 2018",0.430324,0.520833,0.40472,0.510451,"1,054,880","238,994,000"
"Jan 05, 2018",0.412898,0.44638,0.398567,0.431094,"712,946","227,547,000"
"Jan 04, 2018",0.440121,0.453009,0.386759,0.420234,"680,181","240,653,000"
"Jan 03, 2018",0.433734,0.481555,0.375878,0.440263,"1,012,420","234,835,000"
"Jan 02, 2018",0.416441,0.478377,0.385716,0.437708,"872,412","223,671,000"
"Jan 01, 2018",0.406341,0.431032,0.36852,0.422486,"451,068","216,494,000"
"Dec 31, 2017",0.434267,0.443978,0.350621,0.403023,"618,419","229,464,000"
"Dec 30, 2017",0.524872,0.535724,0.384215,0.431189,"903,951","275,049,000"
"Dec 29, 2017",0.350635,0.563788,0.350635,0.524245,"2,109,260","182,104,000"
"Dec 28, 2017",0.27958,0.399102,0.242698,0.347501,"1,029,950","143,992,000"
"Dec 27, 2017",0.236854,0.279802,0.216285,0.279802,"642,454","120,855,000"
"Dec 26, 2017",0.167689,0.224966,0.163742,0.224966,"359,837","84,783,100"
"Dec 25, 2017",0.194018,0.194754,0.156119,0.171389,"296,812","97,771,900"
"Dec 24, 2017",0.179958,0.19574,0.162229,0.192288,"305,636","89,831,700"
"Dec 23, 2017",0.144981,0.207454,0.144981,0.177276,"520,726","71,725,000"
"Dec 22, 2017",0.130838,0.163793,0.105656,0.148473,"587,457","64,121,300"
"Dec 21, 2017",0.120903,0.141866,0.114677,0.130419,"218,411","58,674,500"
"Dec 20, 2017",0.136985,0.136985,0.115453,0.119119,"168,723","65,833,900"
"Dec 19, 2017",0.147308,0.157073,0.126463,0.137152,"479,346","70,116,100"
"Dec 18, 2017",0.17898,0.216103,0.141042,0.145257,"406,680","84,365,200"
"Dec 17, 2017",0.186079,0.191225,0.152399,0.177806,"256,135","86,830,200"
"Dec 16, 2017",0.187493,0.218266,0.17204,0.186231,"390,156","86,547,100"
"Dec 15, 2017",0.131303,0.187989,0.125296,0.185927,"339,833","59,974,200"
"Dec 14, 2017",0.113661,0.135984,0.111266,0.135984,"199,843","51,394,600"
"Dec 13, 2017",0.105757,0.123946,0.098938,0.114535,"149,462","47,278,200"
"Dec 12, 2017",0.083112,0.105906,0.081134,0.105651,"165,430","36,730,700"
"Dec 11, 2017",0.075662,0.085705,0.073838,0.082683,"97,988","32,994,100"
"Dec 10, 2017",0.073463,0.077654,0.064092,0.076198,"49,205","31,660,600"
"Dec 09, 2017",0.076521,0.080222,0.068553,0.07293,"73,108","32,580,600"
"Dec 08, 2017",0.07172,0.079332,0.060108,0.076331,"84,487","30,164,400"
"Dec 07, 2017",0.064403,0.080877,0.057138,0.071557,"196,221","26,728,400"
"Dec 06, 2017",0.062039,0.066427,0.061171,0.065332,"108,993","25,419,500"
"Dec 05, 2017",0.060905,0.065226,0.059187,0.062177,"67,432","24,645,000"
"Dec 04, 2017",0.05714,0.062948,0.055926,0.060786,"89,006","22,821,500"
"Dec 03, 2017",0.059017,0.062434,0.054792,0.056959,"45,733","23,262,900"
"Dec 02, 2017",0.062291,0.067411,0.056019,0.058967,"88,522","24,226,500"
"Dec 01, 2017",0.059833,0.063655,0.056034,0.061592,"70,817","22,957,000"
"Nov 30, 2017",0.057558,0.066371,0.051961,0.060716,"48,059","21,759,100"
"Nov 29, 2017",0.062871,0.072849,0.051798,0.056674,"128,615","23,428,600"
"Nov 28, 2017",0.05187,0.065471,0.049219,0.063003,"165,692","19,031,000"
"Nov 27, 2017",0.045548,0.051742,0.044456,0.051742,"107,188","16,924,200"
"Nov 26, 2017",0.045825,0.047944,0.040559,0.045538,"155,080","16,772,000"
"Nov 25, 2017",0.057056,0.0572,0.033861,0.044365,"274,839","20,572,800"
"Nov 24, 2017",0.05427,0.061007,0.052864,0.056083,"75,423","19,252,800"
"Nov 23, 2017",0.056684,0.060241,0.054253,0.054357,"40,515","19,797,500"
"Nov 22, 2017",0.055419,0.061989,0.052793,0.056792,"92,393","19,017,600"
"Nov 21, 2017",0.04975,0.059121,0.047298,0.055092,"72,711","15,646,600"
"Nov 20, 2017",0.058012,0.059512,0.049639,0.049873,"90,677","18,245,100"
"Nov 19, 2017",0.058587,0.062057,0.055905,0.058021,"90,732","18,396,500"
