Date,Open,High,Low,Close,Volume,Market Cap
"Jan 19, 2018",0.063881,0.068019,0.059133,0.061192,"19,232,400","620,700,000"
"Jan 18, 2018",0.061212,0.07315,0.058945,0.064829,"28,260,400","594,474,000"
"Jan 17, 2018",0.058738,0.064227,0.043858,0.061082,"31,095,800","570,166,000"
"Jan 16, 2018",0.085274,0.085313,0.044809,0.059966,"42,617,800","827,351,000"
"Jan 15, 2018",0.092545,0.096304,0.083616,0.083966,"27,889,700","897,455,000"
"Jan 14, 2018",0.101996,0.101996,0.087863,0.09342,"20,012,900","988,634,000"
"Jan 13, 2018",0.103053,0.105758,0.100372,0.10205,"25,761,300","998,393,000"
"Jan 12, 2018",0.093717,0.10446,0.089696,0.10262,"29,030,200","907,496,000"
"Jan 11, 2018",0.110149,0.113387,0.088602,0.093983,"45,121,700","1,066,090,000"
"Jan 10, 2018",0.111662,0.123403,0.096505,0.112069,"79,983,500","1,080,220,000"
"Jan 09, 2018",0.115493,0.126751,0.10923,0.109981,"64,104,300","1,116,730,000"
"Jan 08, 2018",0.127021,0.127939,0.095626,0.115935,"83,133,900","1,227,590,000"
"Jan 07, 2018",0.126541,0.142889,0.121018,0.126931,"85,568,900","1,222,350,000"
"Jan 06, 2018",0.115115,0.141047,0.115115,0.125853,"173,443,000","1,111,440,000"
"Jan 05, 2018",0.095358,0.1215,0.092062,0.114957,"192,553,000","920,234,000"
"Jan 04, 2018",0.080229,0.113087,0.074163,0.095218,"179,759,000","773,857,000"
"Jan 03, 2018",0.06608,0.083496,0.061822,0.079641,"69,436,000","637,068,000"
"Jan 02, 2018",0.069876,0.07252,0.059725,0.065809,"54,081,500","673,331,000"
"Jan 01, 2018",0.070779,0.071014,0.064677,0.070634,"25,680,600","681,700,000"
"Dec 31, 2017",0.068625,0.074868,0.064971,0.070367,"49,734,600","660,635,000"
"Dec 30, 2017",0.067228,0.071426,0.055629,0.06974,"47,014,800","646,862,000"
"Dec 29, 2017",0.059074,0.070049,0.058685,0.067618,"39,750,200","568,130,000"
"Dec 28, 2017",0.064808,0.066263,0.054776,0.05929,"34,190,500","622,959,000"
"Dec 27, 2017",0.067229,0.076989,0.059798,0.065174,"62,377,800","645,912,000"
"Dec 26, 2017",0.064902,0.069257,0.057011,0.066743,"96,599,900","623,239,000"
"Dec 25, 2017",0.085285,0.087569,0.063671,0.065075,"93,801,500","818,574,000"
"Dec 24, 2017",0.070382,0.085133,0.061339,0.084,"125,305,000","675,201,000"
"Dec 23, 2017",0.042199,0.090332,0.041702,0.069652,"226,261,000","404,624,000"
"Dec 22, 2017",0.049732,0.050857,0.030572,0.041414,"41,536,100","476,623,000"
"Dec 21, 2017",0.050789,0.063469,0.0439,0.049618,"75,978,200","486,509,000"
"Dec 20, 2017",0.040199,0.058451,0.033491,0.050577,"103,059,000","384,873,000"
"Dec 19, 2017",0.03723,0.044463,0.035963,0.040307,"69,963,700","356,274,000"
"Dec 18, 2017",0.036373,0.040634,0.031001,0.037542,"62,766,500","347,902,000"
"Dec 17, 2017",0.031187,0.048501,0.029817,0.035664,"157,847,000","298,145,000"
"Dec 16, 2017",0.020728,0.031935,0.020504,0.031935,"46,015,300","198,056,000"
"Dec 15, 2017",0.02124,0.022141,0.017143,0.020606,"24,601,900","202,846,000"
"Dec 14, 2017",0.015478,0.02267,0.015369,0.021115,"32,558,800","147,750,000"
"Dec 13, 2017",0.015782,0.016464,0.014662,0.01536,"9,236,440","150,572,000"
"Dec 12, 2017",0.014311,0.015791,0.013687,0.015737,"8,566,420","136,470,000"
"Dec 11, 2017",0.012894,0.014935,0.012787,0.014175,"5,295,290","122,895,000"
"Dec 10, 2017",0.014524,0.014577,0.012097,0.012993,"4,980,600","138,361,000"
"Dec 09, 2017",0.014202,0.01613,0.013845,0.014542,"8,679,180","135,230,000"
