Date,Open,High,Low,Close,Volume,Market Cap
"Jan 19, 2018",0.015203,0.016103,0.013221,0.014114,"10,762,700","436,691,000"
"Jan 18, 2018",0.01243,0.016879,0.011828,0.015467,"20,949,900","357,038,000"
"Jan 17, 2018",0.010526,0.012768,0.007862,0.012058,"16,040,600","302,352,000"
"Jan 16, 2018",0.015158,0.015193,0.008344,0.010908,"22,247,000","435,390,000"
"Jan 15, 2018",0.018504,0.019169,0.014888,0.015238,"13,581,600","531,494,000"
"Jan 14, 2018",0.020854,0.021118,0.017769,0.018613,"10,141,800","598,981,000"
"Jan 13, 2018",0.01965,0.021961,0.019518,0.021095,"16,441,400","564,306,000"
"Jan 12, 2018",0.018641,0.020424,0.017828,0.019538,"13,342,500","535,328,000"
"Jan 11, 2018",0.023114,0.023215,0.017416,0.018621,"21,120,000","663,799,000"
"Jan 10, 2018",0.022036,0.023344,0.017993,0.022999,"35,833,800","632,840,000"
"Jan 09, 2018",0.025267,0.025572,0.021861,0.021942,"27,157,200","725,630,000"
"Jan 08, 2018",0.025506,0.028092,0.021027,0.025354,"45,192,300","732,452,000"
"Jan 07, 2018",0.029209,0.032391,0.025941,0.026297,"99,560,700","838,769,000"
"Jan 06, 2018",0.018857,0.029635,0.018829,0.029256,"86,278,800","541,450,000"
"Jan 05, 2018",0.019138,0.020998,0.015771,0.018711,"69,929,000","549,525,000"
"Jan 04, 2018",0.018011,0.021345,0.017953,0.01946,"79,646,300","517,128,000"
"Jan 03, 2018",0.013027,0.020094,0.012433,0.018056,"135,084,000","374,009,000"
"Jan 02, 2018",0.010263,0.013286,0.009625,0.01308,"35,460,200","294,657,000"
"Jan 01, 2018",0.011586,0.012226,0.010134,0.010134,"27,199,400","332,647,000"
"Dec 31, 2017",0.008787,0.011719,0.008589,0.011546,"30,462,400","252,265,000"
"Dec 30, 2017",0.01045,0.010674,0.008649,0.008891,"14,883,000","300,021,000"
"Dec 29, 2017",0.010735,0.011868,0.009627,0.010611,"29,663,400","308,179,000"
"Dec 28, 2017",0.012876,0.012878,0.009402,0.010879,"34,008,100","369,496,000"
"Dec 27, 2017",0.016135,0.016135,0.012483,0.012761,"44,206,000","463,023,000"
"Dec 26, 2017",0.013547,0.017118,0.011918,0.015858,"90,064,100","388,754,000"
"Dec 25, 2017",0.016162,0.022578,0.01246,0.013671,"158,042,000","463,784,000"
"Dec 24, 2017",0.010125,0.019156,0.009134,0.015346,"174,617,000","290,544,000"
"Dec 23, 2017",0.008277,0.012943,0.008076,0.010284,"77,540,400","237,530,000"
"Dec 22, 2017",0.010235,0.010235,0.004826,0.007947,"58,049,300","293,718,000"
"Dec 21, 2017",0.009061,0.014089,0.008035,0.010049,"184,486,000","260,013,000"
"Dec 20, 2017",0.003346,0.010412,0.002646,0.00871,"148,392,000","96,013,600"
"Dec 19, 2017",0.002882,0.00361,0.002664,0.003182,"13,528,700","82,698,800"
"Dec 18, 2017",0.002877,0.003056,0.002462,0.002886,"7,872,790","82,568,500"
"Dec 17, 2017",0.002725,0.003484,0.002497,0.002865,"21,482,700","78,189,400"
"Dec 16, 2017",0.001599,0.002743,0.001577,0.002724,"12,212,500","45,892,900"
"Dec 15, 2017",0.001814,0.001863,0.001546,0.001756,"1,228,770","52,056,000"
"Dec 14, 2017",0.001482,0.001846,0.001462,0.001812,"2,361,400","42,515,400"
"Dec 13, 2017",0.001719,0.001738,0.001449,0.001634,"939,991","49,298,100"
"Dec 12, 2017",0.001519,0.00177,0.001346,0.001718,"1,426,780","43,565,400"
"Dec 11, 2017",0.001522,0.001747,0.001383,0.001665,"532,787","43,642,600"
"Dec 10, 2017",0.001503,0.00163,0.001194,0.001532,"750,447","43,110,600"
"Dec 09, 2017",0.001622,0.00166,0.001262,0.001497,"1,102,540","46,530,400"
"Dec 08, 2017",0.001568,0.001786,0.001272,0.001471,"1,097,550","44,981,800"
"Dec 07, 2017",0.001644,0.001794,0.001376,0.001729,"2,024,320","47,155,500"
"Dec 06, 2017",0.001518,0.001646,0.001246,0.001646,"1,706,450","43,534,300"
"Dec 05, 2017",0.001512,0.001632,0.001389,0.001521,"1,591,410","43,374,000"
"Dec 04, 2017",0.001233,0.001504,0.00113,0.001399,"1,566,390","35,372,000"
"Dec 03, 2017",0.001103,0.001298,0.001077,0.001125,"620,908","31,646,400"
"Dec 02, 2017",0.001195,0.001222,0.001082,0.001198,"358,454","34,273,300"
"Dec 01, 2017",0.001096,0.00125,0.000951,0.001093,"674,677","31,433,900"
"Nov 30, 2017",0.001084,0.00128,0.000905,0.001102,"555,738","31,085,600"
"Nov 29, 2017",0.001195,0.001409,0.001005,0.001068,"1,059,710","34,278,700"
"Nov 28, 2017",0.001268,0.001376,0.001166,0.001197,"541,741","36,364,100"
"Nov 27, 2017",0.001215,0.001361,0.001142,0.001267,"925,893","34,831,100"
"Nov 26, 2017",0.001224,0.001331,0.001137,0.001303,"522,660","35,086,500"
"Nov 25, 2017",0.00115,0.001232,0.001065,0.001139,"523,048","32,986,100"
"Nov 24, 2017",0.001204,0.001238,0.001036,0.001153,"827,451","34,535,400"
"Nov 23, 2017",0.001072,0.001237,0.001055,0.001206,"1,314,890","30,726,100"
"Nov 22, 2017",0.001054,0.001156,0.000976,0.001072,"707,296","30,215,100"
