"id","name","symbol","rank","price_usd","price_btc","24h_volume_usd","market_cap_usd","available_supply","total_supply","max_supply","percent_change_1h","percent_change_24h","percent_change_7d","last_updated"
"bitcoin","Bitcoin","BTC","1","11862.7","1.0","10315000000.0","199456175558","16813725.0","16813725.0","21000000.0","-0.63","4.43","-16.57","1516421962"
"ethereum","Ethereum","ETH","2","1068.51","0.0908872","3922750000.0","103742214464","97090541.0","97090541.0","null","-0.97","4.33","-18.05","1516421952"
"ripple","Ripple","XRP","3","1.52689","0.00012988","3052510000.0","59150409767.0","38739142811.0","99993093880.0","100000000000","0.72","-3.71","-26.44","1516421941"
"bitcoin-cash","Bitcoin Cash","BCH","4","1817.05","0.154558","739555000.0","30746961731.0","16921363.0","16921363.0","21000000.0","-0.44","2.42","-30.71","1516421957"
"cardano","Cardano","ADA","5","0.664165","0.00005649","612098000.0","17219852804.0","25927070538.0","31112483745.0","45000000000.0","-0.1","4.97","-27.73","1516421959"
"litecoin","Litecoin","LTC","6","196.344","0.0167009","530281000.0","10766623013.0","54835508.0","54835508.0","84000000.0","-0.81","3.29","-18.56","1516421941"
"nem","NEM","XEM","7","1.11867","0.00009515","155123000.0","10068029999.0","8999999999.0","8999999999.0","null","-1.54","7.03","-25.16","1516421946"
"neo","NEO","NEO","8","140.69","0.011967","448953000.0","9144850000.0","65000000.0","100000000.0","null","-1.47","1.96","10.06","1516421950"
"stellar","Stellar","XLM","9","0.509399","0.00004333","197214000.0","9113627988.0","17890942048.0","103610058900","null","-0.42","2.22","-26.47","1516421944"
"eos","EOS","EOS","10","12.8021","0.00108894","1490010000.0","7877650056.0","615340456.0","900000000.0","1000000000.0","-1.71","25.07","-21.04","1516421955"
"iota","IOTA","MIOTA","11","2.80104","0.00023825","109074000.0","7785575504.0","2779530283.0","2779530283.0","2779530283.0","0.93","1.85","-25.89","1516421955"
"dash","Dash","DASH","12","877.018","0.0745987","143716000.0","6865779639.0","7828550.0","7828550.0","18900000.0","-1.78","6.76","-19.36","1516421942"
"monero","Monero","XMR","13","360.188","0.0306374","217515000.0","5627346509.0","15623359.0","15623359.0","null","-1.05","13.68","-11.77","1516421943"
"tron","TRON","TRX","14","0.0817861","0.00000696","614841000.0","5377288245.0","65748192475.0","100000000000","null","-0.66","4.81","-27.35","1516421958"
"bitcoin-gold","Bitcoin Gold","BTG","15","222.549","0.0189299","517406000.0","3733083904.0","16774211.0","16874211.0","21000000.0","2.34","1.64","-3.97","1516421960"
"icon","ICON","ICX","16","8.88507","0.00075576","79763600.0","3376726464.0","380045004.0","400230000.0","null","-1.63","15.48","-9.43","1516421963"
"ethereum-classic","Ethereum Classic","ETC","17","32.9054","0.00279891","472560000.0","3265719588.0","99245704.0","99245704.0","null","-1.88","9.73","-9.9","1516421949"
"qtum","Qtum","QTUM","18","40.6212","0.00345521","763784000.0","2998670308.0","73820328.0","100320328.0","null","-2.57","9.32","-21.93","1516421954"
"lisk","Lisk","LSK","19","23.6776","0.002014","59154100.0","2774611538.0","117182972.0","117182972.0","null","-0.96","7.06","-21.37","1516421949"
"raiblocks","RaiBlocks","XRB","20","17.5188","0.00149014","16202100.0","2334350129.0","133248289.0","133248289.0","133248290.0","-1.68","6.73","-30.71","1516421953"
"omisego","OmiseGO","OMG","21","19.2865","0.0016405","86457600.0","1968043675.0","102042552.0","140245398.0","null","-0.35","10.23","-18.23","1516421956"
"vechain","VeChain","VEN","22","6.29354","0.00053533","120751000.0","1744334120.0","277162633.0","867162633.0","null","0.61","14.73","3.03","1516421957"
"populous","Populous","PPT","23","44.9958","0.00382732","2195060.0","1665025793.0","37004027.0","53252246.0","53252246.0","-0.06","8.13","-10.69","1516421956"
"zcash","Zcash","ZEC","24","530.578","0.0451306","165938000.0","1642254974.0","3095219.0","3095219.0","null","0.21","7.24","-24.89","1516421950"
"tether","Tether","USDT","25","1.00772","0.00008572","2824250000.0","1630582484.0","1618090823.0","1650000000.0","null","0.3","-2.17","0.07","1516421945"
"verge","Verge","XVG","26","0.106775","0.00000908","89251000.0","1568114177.0","14686154785.0","14686154785.0","16555000000.0","-0.45","-0.89","-33.54","1516421945"
"stratis","Stratis","STRAT","27","15.2999","0.0013014","50452900.0","1510215464.0","98707538.0","98707538.0","null","-0.72","6.94","-19.5","1516421949"
"binance-coin","Binance Coin","BNB","28","15.2234","0.00129489","105713000.0","1507329728.0","99014000.0","197192382.0","null","-0.74","5.16","-31.19","1516421956"
"siacoin","Siacoin","SC","29","0.0472386","0.00000402","80601800.0","1483109991.0","31396146174.0","31396146174.0","null","-2.01","-5.15","-29.8","1516421947"
"ardor","Ardor","ARDR","30","1.38925","0.00011817","144115000.0","1387860048.0","998999495.0","998999495.0","998999495.0","-0.69","2.62","-16.5","1516421949"
"bytecoin-bcn","Bytecoin","BCN","31","0.0074406","0.00000063","5856030.0","1366642035.0","183673633137","183673633137","184470000000","-1.23","1.3","-37.5","1516421943"
"steem","Steem","STEEM","32","5.39885","0.00045922","162375000.0","1336352573.0","247525412.0","264499506.0","null","-0.71","24.13","-11.64","1516421948"
"status","Status","SNT","33","0.332245","0.00002826","365053000.0","1153050886.0","3470483788.0","6804870174.0","null","-0.41","6.66","-31.76","1516421956"
"bitshares","BitShares","BTS","34","0.403523","0.00003432","44616700.0","1052073236.0","2607220000.0","2607220000.0","3600570502.0","-0.83","19.63","-37.56","1516421944"
"maker","Maker","MKR","35","1595.39","0.135703","1356830.0","986314402.0","618228.0","1000000.0","null","-0.76","4.6","14.85","1516421951"
"0x","0x","ZRX","36","1.89244","0.00016097","21851200.0","942085980.0","497815508.0","1000000000.0","null","-0.46","17.55","-16.46","1516421958"
"dogecoin","Dogecoin","DOGE","37","0.0081924","0.00000070","29666000.0","924429451.0","112839882231","112839882231","null","-0.5","6.82","-37.81","1516421942"
"waves","Waves","WAVES","38","9.12832","0.00077645","54678200.0","912832000.0","100000000.0","100000000.0","null","-1.03","9.01","-21.67","1516421949"
"augur","Augur","REP","39","81.7868","0.00695674","54630700.0","899654800.0","11000000.0","11000000.0","null","0.85","26.88","-23.72","1516421948"
"veritaseum","Veritaseum","VERI","40","439.602","0.0373923","974022.0","895313409.0","2036645.0","100000000.0","null","0.79","19.51","2.33","1516421954"
